"id","name","agencies"
"1001","ABC Brasil Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"1003","Agiplan Financeira S.A. - Crédito Financiamento e Investimento","1"
"1004","Ágora Corretora de Títulos e Valores Mobiliários S.A.","1"
"1005","Alfa Arrendamento Mercantil S.A.","1"
"1006","Alfa Corretora de Câmbio e Valores Mobiliários S.A.","1"
"1007","Bacor Corretora de Câmbio e Valores Mobiliários S.A.","3"
"1008","Bahia Administração de Recursos Distribuidora de Títulos e Valores Mobiliários S.A.","3"
"654","Banco A.J.Renner S.A.","2"
"246","Banco ABC Brasil S.A.","5"
"121","Banco Agibank S.A.","1"
"1009","Banco Alfa de Investimentos S.A.","9"
"25","Banco Alfa S.A.","9"
"641","Banco Alvorada S.A.","2"
"213","Banco Arbi S.A.","2"
"24","Banco BANDEPE S.A.","1"
"107","Banco BBM S.A.","3"
"96","Banco BM&FBOVESPA de Serviços de Liquidação e Custódia S.A","1"
"318","Banco BMG S.A.","25"
"752","Banco BNP Paribas Brasil S.A.","4"
"36","Banco Bradesco BBI S.A.","2"
"122","Banco Bradesco BERJ S.A.","2"
"204","Banco Bradesco Cartões S.A.","2"
"394","Banco Bradesco Financiamentos S.A.","2"
"237","Banco Bradesco S.A.","4745"
"225","Banco Brascan S.A.","1"
"218","Banco BS2 S.A.","2"
"208","Banco BTG Pactual S.A.","7"
"412","Banco Capital S.A.","1"
"40","Banco Cargill S.A.","1"
"1010","Banco Caterpillar S.A.","1"
"1011","Banco CBSS S.A.","1"
"266","Banco Cédula S.A.","1"
"739","Banco Cetelem S.A.","1"
"233","Banco Cifra S.A.","2"
"745","Banco Citibank S.A.","126"
"241","Banco Clássico S.A.","1"
"1012","Banco CNH Industrial Capital S.A.","1"
"1088","Banco Commercial Investment Trus do Brasil S.A.","1"
"95","Banco Confidence de Câmbio S.A.","1"
"756","Banco Cooperativo do Brasil S.A. - BANCOOB","3"
"748","Banco Cooperativo Sicredi S.A.","5"
"75","Banco CR2 S.A.","1"
"222","Banco Credit Agricole Brasil S.A.","1"
"505","Banco Credit Suisse (Brasil) S.A.","1"
"69","Banco Crefisa S.A.","1"
"1013","Banco CSF S.A.","1"
"3","Banco da Amazônia S.A.","120"
"83","Banco da China Brasil S.A.","1"
"707","Banco Daycoval S.A.","38"
"1002","Banco de Desenvolvimento do Estado de Santa Catarina S.A.","1"
"1014","Banco de Investimento Credit Suisse (Brasil) S.A.","2"
"300","Banco de La Nacion Argentina","2"
"495","Banco de La Provincia de Buenos Aires","1"
